name,category,year,nominalGDP,realGDP,nominalGDPGrowth,realGDPGrowth,gdpPpp,population,populationGrowth,standardOfLiving,consumerSpending,easeOfDoingBusiness,unemployment,retailSalesGrowth
USA,G7,2017,19386200,19386200,0.023,0.023,19400000,326,0.007,62152,0.657,6,0.043,0.047
Canada,G7,2017,1671581,1671581,0.03,0.03,1800000,37,0.012,49775,0.583,18,0.063,0.066
Japan,G7,2017,4867528,4867528,0.017,0.017,5400000,127,-0.002,44426,0.558,34,0.028,0.005
France,G7,2017,2629754,2629754,0.02,0.02,2800000,65,0.007,45474,0.553,31,0.094,0.039
Germany,G7,2017,3753700,3753700,0.025,0.025,4100000,83,0.004,52801,0.533,20,0.038,0.03
Italy,G7,2017,1972758,1972758,0.015,0.015,2300000,59,-0.001,39500,0.608,46,0.112,0.013
UK,G7,2017,2673118,2673118,0.017,0.017,2900000,66,0.008,45556,0.664,7,0.043,0.018
Brazil,BRIC,2017,2028441,2028441,0.01,0.01,3200000,208,0.016,16199,0.64,125,0.131,-0.001
Russia,BRIC,2017,1531953,1531953,0.016,0.016,3900000,147,-0.017,28958,0.534,35,0.055,-0.002
India,BRIC,2017,2624628,2624628,0.066,0.066,9500000,1339,0.011,7784,0.594,100,0.038,0.066
China,BRIC,2017,12059889,12059889,0.069,0.069,23200000,1390,0.005,18066,0.39,78,0.04,0.104
Mexico,MIST,2017,1165920,1165920,0.023,0.023,2400000,129,0.056,20617,0.663,49,0.033,0.011
Indonesia,MIST,2017,1012539,1012539,0.051,0.051,3300000,262,0.02,13162,0.555,72,0.055,0.029
South Korea,MIST,2017,1549056,1549056,0.031,0.031,2000000,51,0.005,41388,0.488,4,0.037,0.025
Turkey,MIST,2017,837673,837673,0.066,0.066,2100000,81,0.012,28347,0.598,60,0.109,0.054
Singapore,Tier 4,2017,327460,327460,0.036,0.036,500000,6,0.018,98014,0.375,2,0.022,0.023
Hong Kong,Tier 4,2017,341316,341316,0.038,0.038,400000,7,0.004,64533,0.662,5,0.031,0.032
Australia,Tier 4,2017,1393009,1393009,0.022,0.022,1300000,24,0.003,52191,0.578,14,0.056,0.025
South Africa,Tier 4,2017,355774,355774,0.013,0.013,800000,57,0.014,13840,0.599,82,0.274,0.075
Nigeria,Tier 4,2017,394820,394820,0.008,0.008,1100000,191,0.026,6027,0.784,145,0.11,-0.128
Saudi Arabia,Tier 4,2017,678540,678540,0.001,0.001,1800000,33,0.005,55859,0.427,92,0.056,0.075
